"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Metric Name","Metric Unit","Minimum","Maximum","Average"
"4192105","green_ctx_bw_bench","127.0.0.1","read_bandwidth_kernel(const float4 *, float *, unsigned long)","(256, 1, 1)","(128, 1, 1)","0","8.6","6","device__attribute_architecture","","","","368"
"4192105","green_ctx_bw_bench","127.0.0.1","read_bandwidth_kernel(const float4 *, float *, unsigned long)","(256, 1, 1)","(128, 1, 1)","0","8.6","6","device__attribute_async_engine_count","","","","2"
"4192105","green_ctx_bw_bench","127.0.0.1","read_bandwidth_kernel(const float4 *, float *, unsigned long)","(256, 1, 1)","(128, 1, 1)","0","8.6","6","device__attribute_can_flush_remote_writes","","","","0"
"4192105","green_ctx_bw_bench","127.0.0.1","read_bandwidth_kernel(const float4 *, float *, unsigned long)","(256, 1, 1)","(128, 1, 1)","0","8.6","6","device__attribute_can_map_host_memory","","","","1"
"4192105","green_ctx_bw_bench","127.0.0.1","read_bandwidth_kernel(const float4 *, float *, unsigned long)","(256, 1, 1)","(128, 1, 1)","0","8.6","6","device__attribute_can_tex2d_gather","","","","1"
"4192105","green_ctx_bw_bench","127.0.0.1","read_bandwidth_kernel(const float4 *, float *, unsigned long)","(256, 1, 1)","(128, 1, 1)","0","8.6","6","device__attribute_can_use_64_bit_stream_mem_ops","","","","1"
"4192105","green_ctx_bw_bench","127.0.0.1","read_bandwidth_kernel(const float4 *, float *, unsigned long)","(256, 1, 1)","(128, 1, 1)","0","8.6","6","device__attribute_can_use_64_bit_stream_mem_ops_v1","","","","0"
"4192105","green_ctx_bw_bench","127.0.0.1","read_bandwidth_kernel(const float4 *, float *, unsigned long)","(256, 1, 1)","(128, 1, 1)","0","8.6","6","device__attribute_can_use_host_pointer_for_registered_mem","","","","1"
"4192105","green_ctx_bw_bench","127.0.0.1","read_bandwidth_kernel(const float4 *, float *, unsigned long)","(256, 1, 1)","(128, 1, 1)","0","8.6","6","device__attribute_can_use_stream_mem_ops_v1","","","","0"
"4192105","green_ctx_bw_bench","127.0.0.1","read_bandwidth_kernel(const float4 *, float *, unsigned long)","(256, 1, 1)","(128, 1, 1)","0","8.6","6","device__attribute_can_use_stream_wait_value_nor","","","","1"
"4192105","green_ctx_bw_bench","127.0.0.1","read_bandwidth_kernel(const float4 *, float *, unsigned long)","(256, 1, 1)","(128, 1, 1)","0","8.6","6","device__attribute_can_use_stream_wait_value_nor_v1","","","","0"
